* Generated by rew_pipeline.py (source UUID 3cad11fd-e3fa-4108-9c9c-d820def9f39f, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: R.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Trace Arithmetic A times B A = R.nofdw.120.green.multipos.fdw6 B = FRX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
103.271484 73.907 56.6184
103.454590 74.121 55.4429
103.637695 74.305 54.4452
103.820801 74.494 53.3863
104.003906 74.667 52.0546
104.187012 74.783 50.5603
104.370117 74.831 49.2700
104.553223 74.852 48.4714
104.736328 74.903 48.0791
104.919434 75.002 47.6830
105.102539 75.106 46.9330
105.285645 75.152 45.8467
105.468750 75.111 44.7447
105.651855 75.009 43.9565
105.834961 74.901 43.5729
106.018066 74.830 43.4313
106.201172 74.801 43.3274
106.384277 74.795 43.2110
106.567383 74.802 43.1662
106.750488 74.827 43.2565
106.933594 74.872 43.4424
107.116699 74.929 43.6458
107.299805 74.986 43.8411
107.482910 75.038 44.0456
107.666016 75.094 44.2357
107.849121 75.158 44.3244
108.032227 75.220 44.2470
108.215332 75.266 44.0508
108.398438 75.296 43.8718
108.581543 75.322 43.8165
108.764648 75.357 43.8829
108.947754 75.401 44.0155
109.130859 75.443 44.2254
109.313965 75.483 44.6175
109.497070 75.542 45.2652
109.680176 75.656 46.0640
109.863281 75.836 46.7525
110.046387 76.065 47.1132
110.229492 76.312 47.1263
110.412598 76.565 46.9080
110.595703 76.832 46.5211
110.778809 77.119 45.8761
110.961914 77.409 44.8242
111.145020 77.662 43.3322
111.328125 77.847 41.5500
111.511230 77.956 39.7216
111.694336 78.008 38.0332
111.877441 78.034 36.5210
112.060547 78.054 35.1008
112.243652 78.067 33.6820
112.426758 78.065 32.2564
112.609863 78.038 30.8938
112.792969 77.989 29.6831
112.976074 77.922 28.6956
113.159180 77.847 27.9908
113.342285 77.781 27.6154
113.525391 77.750 27.5466
113.708496 77.780 27.6250
113.891602 77.877 27.5873
114.074707 78.013 27.2256
