* Generated by rew_pipeline.py (source UUID 9e8dedfa-8b56-4da9-abd5-de1186520615, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -0.999958 s))
* Measurement: L.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Trace Arithmetic A times B A = L.nofdw.120.green.multipos.fdw6 B = FLX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
122.497559 72.992 36.9149
122.680664 73.334 37.1239
122.863770 73.686 37.0305
123.046875 74.030 36.5717
123.229980 74.346 35.7269
123.413086 74.618 34.5077
123.596191 74.839 32.9343
123.779297 75.007 31.0380
123.962402 75.117 28.8920
124.145508 75.169 26.6359
124.328613 75.173 24.4604
124.511719 75.147 22.5407
124.694824 75.113 20.9547
124.877930 75.087 19.6491
125.061035 75.063 18.4972
125.244141 75.020 17.4109
125.427246 74.940 16.4056
125.610352 74.821 15.5533
125.793457 74.687 14.8622
125.976562 74.566 14.1980
126.159668 74.466 13.3452
126.342773 74.369 12.1821
126.525879 74.248 10.8054
126.708984 74.094 9.4802
126.892090 73.924 8.4530
127.075195 73.765 7.7730
127.258301 73.629 7.2787
127.441406 73.493 6.7820
127.624512 73.317 6.2746
127.807617 73.087 5.9427
127.990723 72.828 5.9770
128.173828 72.593 6.3457
128.356934 72.418 6.7642
128.540039 72.287 6.9487
128.723145 72.158 6.9080
128.906250 72.007 6.9514
129.089355 71.855 7.4059
129.272461 71.753 8.2887
129.455566 71.723 9.2454
129.638672 71.728 9.8649
129.821777 71.695 10.0495
130.004883 71.576 10.0586
130.187988 71.381 10.2492
130.371094 71.166 10.7679
130.554199 70.983 11.4394
130.737305 70.841 11.9704
130.920410 70.709 12.2806
131.103516 70.560 12.6077
131.286621 70.406 13.2973
131.469727 70.294 14.4922
131.652832 70.258 16.0096
131.835938 70.289 17.5417
132.019043 70.349 18.9545
132.202148 70.413 20.3321
132.385254 70.494 21.7446
132.568359 70.616 23.0343
132.751465 70.774 23.8892
132.934570 70.922 24.1447
133.117676 71.013 23.9693
133.300781 71.036 23.7442
133.483887 71.031 23.7584
133.666992 71.050 23.9721
133.850098 71.105 24.0807
134.033203 71.154 23.8624
134.216309 71.140 23.4521
134.399414 71.045 23.2666
134.582520 70.910 23.6652
134.765625 70.810 24.6164
134.948730 70.783 25.6996
135.131836 70.797 26.5242
135.314941 70.796 27.1193
135.498047 70.767 27.8480
135.681152 70.761 28.9602
135.864258 70.844 30.2352
136.047363 71.013 31.1429
136.230469 71.191 31.4072
136.413574 71.296 31.3096
136.596680 71.313 31.4442
136.779785 71.309 32.2118
136.962891 71.372 33.4461
137.145996 71.530 34.5508
137.329102 71.725 35.0830
137.512207 71.887 35.1232
137.695312 71.994 35.0825
137.878418 72.090 35.2644
138.061523 72.232 35.6048
138.244629 72.435 35.8034
138.427734 72.664 35.6787
138.610840 72.883 35.3283
138.793945 73.081 34.9570
138.977051 73.277 34.6285
139.160156 73.476 34.2142
139.343262 73.659 33.5763
139.526367 73.799 32.7488
139.709473 73.894 31.9038
139.892578 73.970 31.1494
140.075684 74.061 30.3822
140.258789 74.169 29.3791
140.441895 74.260 28.0511
140.625000 74.299 26.5822
140.808105 74.282 25.3073
140.991211 74.245 24.4446
141.174316 74.232 23.9133
141.357422 74.252 23.4225
141.540527 74.278 22.7631
141.723633 74.276 21.9864
141.906738 74.244 21.2958
142.089844 74.215 20.7957
142.272949 74.222 20.3639
142.456055 74.264 19.7838
142.639160 74.313 18.9867
142.822266 74.345 18.1162
143.005371 74.366 17.3498
143.188477 74.402 16.6822
143.371582 74.458 15.9051
143.554688 74.510 14.8198
143.737793 74.516 13.4458
143.920898 74.462 12.0032
144.104004 74.370 10.7046
144.287109 74.281 9.5542
144.470215 74.216 8.3509
144.653320 74.156 6.9075
144.836426 74.062 5.2524
145.019531 73.914 3.6062
145.202637 73.721 2.1770
145.385742 73.510 0.9747
145.568848 73.290 -0.1786
145.751953 73.041 -1.4474
145.935059 72.731 -2.7997
146.118164 72.346 -4.0193
146.301270 71.903 -4.8761
146.484375 71.431 -5.2731
146.667480 70.947 -5.2204
146.850586 70.447 -4.6716
147.033691 69.936 -3.4387
147.216797 69.446 -1.3501
147.399902 69.030 1.4894
