* Generated by rew_pipeline.py (source UUID e8331ac2-31c2-4b44-99b7-25a0730980a7, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -0.999963 s))
* Measurement: L.nofdw.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Copy of L.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from R and L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.0001 ms (0.03 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
247.924805 73.289 157.7769
248.291016 73.145 153.9949
248.657227 72.742 151.0244
249.023438 72.609 147.6693
249.389648 72.060 145.5767
249.755859 71.857 142.4138
250.122070 71.449 140.1452
250.488281 71.244 138.1184
250.854492 70.842 134.4412
251.220703 70.755 131.7559
251.586914 70.230 129.2737
251.953125 69.858 125.7925
252.319336 69.660 121.7734
252.685547 69.104 116.2765
253.051758 68.805 113.4823
253.417969 67.983 105.6225
253.784180 67.145 100.7803
254.150391 66.225 95.8260
254.516602 64.970 87.6139
254.882812 63.223 79.0144
255.249023 62.333 69.1049
255.615234 59.552 63.7743
255.981445 55.831 44.1981
256.347656 53.374 5.1080
256.713867 51.339 -44.6448
257.080078 53.876 -90.3900
257.446289 58.967 -112.8927
257.812500 61.120 -117.1267
258.178711 62.784 -131.8212
258.544922 63.795 -140.6205
258.911133 66.155 -149.9375
259.277344 67.000 -156.8271
259.643555 67.253 -164.5750
260.009766 68.316 -174.1315
260.375977 68.818 179.4903
260.742188 69.100 172.1415
261.108398 69.066 165.6120
261.474609 69.276 157.4032
261.840820 69.403 150.9058
262.207031 69.337 142.4881
262.573242 69.465 136.9160
262.939453 69.651 130.9894
263.305664 69.329 124.2106
263.671875 69.112 115.5858
264.038086 69.067 111.7189
264.404297 69.006 105.7437
264.770508 69.169 99.7309
265.136719 69.078 94.6088
265.502930 69.213 90.5829
265.869141 69.040 83.8955
266.235352 69.200 79.7034
266.601562 69.238 73.9433
266.967773 69.606 69.4263
267.333984 69.958 64.7666
267.700195 70.124 57.3254
268.066406 70.448 51.4919
268.432617 71.041 45.8753
268.798828 71.466 38.6901
269.165039 71.753 31.0239
269.531250 72.238 24.2371
269.897461 72.495 18.6989
270.263672 72.680 10.9128
270.629883 73.041 4.6183
270.996094 73.347 -1.6150
271.362305 73.562 -8.8299
271.728516 73.645 -14.8928
272.094727 73.871 -21.3277
272.460938 74.073 -27.6425
272.827148 74.170 -33.3079
273.193359 74.386 -39.8487
273.559570 74.471 -46.1673
273.925781 74.459 -52.3858
274.291992 74.322 -58.8674
274.658203 74.058 -64.0194
275.024414 73.818 -68.8133
275.390625 73.534 -74.3857
275.756836 73.042 -77.5063
276.123047 72.689 -81.0105
276.489258 72.317 -83.4675
276.855469 72.184 -87.1154
277.221680 71.778 -88.7138
277.587891 71.795 -90.8704
277.954102 71.403 -91.6337
278.320312 71.433 -92.9665
278.686523 71.243 -94.8490
279.052734 70.859 -95.6888
279.418945 70.933 -96.4455
279.785156 70.884 -97.1058
280.151367 70.749 -96.8956
280.517578 70.749 -95.5782
280.883789 71.002 -97.6606
281.250000 71.080 -98.2654
281.616211 71.586 -99.1857
281.982422 71.574 -100.5656
282.348633 71.766 -102.8552
282.714844 71.877 -105.8847
283.081055 72.223 -107.5462
283.447266 71.916 -111.4541
283.813477 72.067 -113.8075
284.179688 72.096 -116.2340
284.545898 71.798 -119.3431
284.912109 71.716 -121.3493
285.278320 71.319 -123.8068
285.644531 71.024 -125.5122
286.010742 70.845 -126.1361
286.376953 70.816 -126.6612
286.743164 70.239 -127.6175
287.109375 70.242 -129.6855
287.475586 70.294 -127.6721
287.841797 70.233 -130.5884
288.208008 70.263 -130.8239
288.574219 69.942 -132.8410
288.940430 70.042 -133.4400
289.306641 69.673 -136.2431
289.672852 69.606 -138.1161
290.039062 69.239 -137.3678
290.405273 68.813 -139.3344
290.771484 68.136 -137.9606
291.137695 67.710 -136.4446
291.503906 67.394 -135.0234
291.870117 67.533 -133.8862
292.236328 67.357 -133.3551
292.602539 67.030 -128.2055
292.968750 67.152 -126.5678
293.334961 66.734 -122.8702
293.701172 66.987 -122.1753
294.067383 67.063 -117.3427
294.433594 67.556 -114.3354
294.799805 67.802 -113.4399
295.166016 68.216 -108.7294
295.532227 68.419 -107.6791
295.898438 69.365 -107.7486
296.264648 69.629 -105.3035
296.630859 70.244 -107.5029
296.997070 70.749 -107.5323
297.363281 71.457 -108.9010
297.729492 72.100 -109.4008
