* Generated by rew_pipeline.py (source UUID a991554c-26c7-4668-8b42-31ccc9447062, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000015 s))
* Measurement: R.nofdw.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Copy of R.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from RLand L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
168.090820 66.500 -138.4665
168.457031 67.596 -128.7215
168.823242 68.094 -125.9410
169.189453 68.524 -124.7278
169.555664 69.098 -125.5382
169.921875 69.988 -126.4032
170.288086 70.514 -127.0097
170.654297 70.404 -130.6538
171.020508 71.050 -136.3433
171.386719 71.391 -137.6112
171.752930 71.775 -138.5360
172.119141 71.569 -142.2956
172.485352 71.694 -144.3863
172.851562 71.897 -150.0791
173.217773 72.274 -152.8422
173.583984 72.606 -156.7255
173.950195 72.558 -159.3249
174.316406 72.301 -165.2750
174.682617 72.351 -169.6738
175.048828 72.342 -171.3473
175.415039 72.231 -178.0125
175.781250 72.234 179.3865
176.147461 72.031 173.9291
176.513672 72.233 171.1884
176.879883 71.986 167.9021
177.246094 71.592 162.7143
177.612305 71.348 155.7442
177.978516 71.664 150.9799
178.344727 71.955 150.2548
178.710938 71.373 145.7144
179.077148 70.967 141.3672
179.443359 71.423 134.7180
179.809570 71.178 129.6738
180.175781 71.003 127.2583
180.541992 70.652 122.0328
180.908203 70.792 119.4409
181.274414 70.492 115.0931
181.640625 70.598 109.2690
182.006836 70.774 106.4603
182.373047 71.149 101.6950
182.739258 70.849 101.5893
183.105469 70.703 97.3681
183.471680 70.338 93.1211
183.837891 71.018 89.6341
184.204102 71.455 85.4172
184.570312 71.528 85.7610
184.936523 71.653 81.3407
185.302734 71.820 78.4835
185.668945 72.440 73.4037
186.035156 72.626 69.6436
186.401367 72.692 67.3170
186.767578 72.935 63.4493
187.133789 73.035 60.2769
187.500000 73.337 58.8214
187.866211 73.839 59.7027
188.232422 74.096 58.1869
188.598633 74.873 53.1472
188.964844 75.560 49.3176
189.331055 76.277 45.7233
189.697266 76.903 40.6839
190.063477 77.297 35.7773
190.429688 77.662 30.0027
190.795898 78.079 22.6781
191.162109 78.373 17.2300
191.528320 78.691 11.5993
